"","id","l3","rooms","bathrooms","surface_total","surface_covered","price","property_type"
"29152","rUra+w0StDxHV27lkqhp8g==","Villa Crespo",2,1,42,42,114000,"Departamento"
"29153","noOtRWhlEHrAj/N0vds6Kg==","Villa Crespo",2,1,32,32,85000,"Departamento"
"29154","0uIB+c0N5wW401J7tHI1Yg==","Villa Crespo",2,1,42,42,114000,"Departamento"
"29155","cAxoIHKCcCUOdH2k4/uiEg==","Villa Crespo",2,1,33,33,89900,"Departamento"
"29156","xzoC6uHcBdL3EiFqDnC4XQ==","Villa Crespo",2,1,37,37,95000,"Departamento"
"29157","9hRTtR+JjOAs73t6m3N9Jw==","Villa Crespo",2,1,66,54,140000,"Departamento"
"29158","R0N1DCXNtI148MOc4OBn1g==","San Cristobal",2,1,59,59,145900,"Departamento"
"29159","mae5Y/4jexKnWR2hKKLRiw==","Villa Urquiza",2,1,67,57,150185,"Departamento"
"29160","w+fa6//ceDX8GgolSwWnyg==","Villa Urquiza",2,1,67,57,132835,"Departamento"
"29161","bvcxhnHoO873ZRCsIW2iOA==","Villa Urquiza",2,1,44,41,149000,"Departamento"
"29162","dxx6VC86GG+cJmdnr/lDCg==","Villa Urquiza",2,1,49,45,129000,"Departamento"
"29163","Var0yKcEMSrd/I3zbalYuw==","Villa del Parque",2,1,48,43,119500,"Departamento"
"29164","dzDqMAlfXtU83DXea9zbbw==","Villa Crespo",3,2,85,85,240000,"PH"
"29165","DWC3hOxL9BPlzN3eGbZAOg==","Villa Crespo",3,2,78,78,162000,"PH"
"29166","TK/9vyeYXr0ped9xr3KO9w==","Villa del Parque",3,1,134,96,248000,"PH"
"29167","Ogiqd7MiqilTNdHVL9RppA==","Nuñez",3,2,88,76,250000,"Departamento"
"29168","A2rFLlurTGOXSCaSoQ4u8g==","Almagro",3,2,70,66,178000,"Departamento"
"29169","hPQAPkxJGHiODdJp0TlbLA==","Almagro",3,1,54,54,137000,"Departamento"
"29170","ZVOeN/Ld2hiUX7A9kSIDuQ==","Almagro",3,2,78,70,184000,"Departamento"
"29171","MDt1oY6b1grCNFh6C8CAbw==","Almagro",3,1,83,80,240000,"Departamento"
"29172","l+Ou6jjB6e9IJFO2psAM8A==","Almagro",3,1,99,99,240000,"Departamento"
"29173","8f+sM+wXGQHX/loQsThW1g==","Almagro",3,2,79,79,158000,"Departamento"
"29174","odXp1y2XHuLWPsudhMF+Ag==","Palermo",3,2,184,100,295000,"Departamento"
